id,character,series,word,count
1592,Raj,5.0,man,12
1593,Raj,5.0,tell,11
1594,Raj,5.0,good,11
1595,Raj,6.0,know,47
1596,Raj,6.0,want,27
1597,Raj,6.0,come,25
1598,Raj,6.0,right,24
1599,Raj,6.0,oontz,24
1600,Raj,6.0,one,22
1601,Raj,6.0,night,19
1602,Raj,6.0,howard,18
1603,Raj,6.0,little,18
1604,Raj,6.0,make,18
1605,Raj,6.0,good,18
1606,Raj,6.0,see,18
1607,Raj,6.0,go,17
1608,Raj,6.0,say,17
1609,Raj,6.0,party,17
1610,Raj,7.0,know,40
1611,Raj,7.0,see,29
1612,Raj,7.0,one,25
1613,Raj,7.0,want,22
1614,Raj,7.0,look,21
1615,Raj,7.0,go,19
1616,Raj,7.0,emily,19
1617,Raj,7.0,good,18
1618,Raj,7.0,right,18
1619,Raj,7.0,let,18
1620,Raj,7.0,think,17
1621,Raj,7.0,night,17
1622,Raj,7.0,time,17
1623,Raj,7.0,guys,16
1624,Raj,7.0,yes,16
1625,Raj,8.0,know,57
1626,Raj,8.0,guys,28
1627,Raj,8.0,right,22
1628,Raj,8.0,one,22
1629,Raj,8.0,go,21
1630,Raj,8.0,think,20
1631,Raj,8.0,want,18
1632,Raj,8.0,little,17
1633,Raj,8.0,come,15
1634,Raj,8.0,look,15
1635,Raj,8.0,really,15
1636,Raj,8.0,good,15
1637,Raj,8.0,make,14
1638,Raj,8.0,let,14
1639,Raj,8.0,back,13
1640,Raj,9.0,know,44
1641,Raj,9.0,right,30
1642,Raj,9.0,guys,24
1643,Raj,9.0,think,20
1644,Raj,9.0,really,18
1645,Raj,9.0,good,18
1646,Raj,9.0,let,17
1647,Raj,9.0,maybe,17
1648,Raj,9.0,emily,17
1649,Raj,9.0,time,16
1650,Raj,9.0,say,16
1651,Raj,9.0,come,13
1652,Raj,9.0,claire,13
1653,Raj,9.0,sure,12
1654,Raj,9.0,look,12
1655,Raj,10.0,know,36
1656,Raj,10.0,think,26
1657,Raj,10.0,want,25
1658,Raj,10.0,howard,20
1659,Raj,10.0,good,19
1660,Raj,10.0,one,19
1661,Raj,10.0,thank,17
1662,Raj,10.0,sheldon,17
1663,Raj,10.0,say,16
1664,Raj,10.0,see,16
1665,Raj,10.0,go,15
1666,Raj,10.0,take,14
1667,Raj,10.0,come,14
1668,Raj,10.0,right,14
1669,Raj,10.0,maybe,14
1670,Raj,,see,1
1671,Raj,,last,1
1672,Raj,,night,1
1673,Raj,,least,1
1674,Raj,,today,1
1675,Raj,,mind,1
1676,Raj,,want,1
1677,Raj,,go,1
1678,Raj,,mall,1
1679,Raj,,look,1
1680,Raj,,baby,1
