id,character,series,word,count
160,Sheldon,,thoughts,1
161,Sheldon,,called,1
162,Sheldon,,sleep,1
163,Sheldon,,bedtime,1
164,Sheldon,,know,1
165,Sheldon,,late,1
166,Sheldon,,one,1
167,Sheldon,,clock,1
168,Sheldon,,raccoon,1
169,Sheldon,,coffee,1
170,Sheldon,,look,1
171,Sheldon,,irritable,1
172,Sheldon,,making,1
173,Sheldon,,fine,1
174,Sheldon,,time,1
175,Sheldon,,passing,1
176,Sheldon,,montage,1
177,Sheldon,,think,1
178,Sheldon,,go,1
179,Sheldon,,much,1
180,Sheldon,,longer,1
181,Sheldon,,bad,1
182,Sheldon,,dream,1
183,Sheldon,,best,1
184,Sheldon,,friend,1
185,Sheldon,,became,1
186,Sheldon,,tyrant,1
187,Sheldon,,forced,1
188,Sheldon,,stay,1
189,Sheldon,,night,1
190,Sheldon,,work,1
191,Sheldon,,ow,1
192,Sheldon,,hurt,1
193,Sheldon,,never,1
194,Sheldon,,happening,1
195,Sheldon,,huh,1
196,Sheldon,,thank,1
197,Sheldon,,caffeine,1
198,Sheldon,,cool,1
199,Sheldon,,chocolate,1
200,Sheldon,,milk,1
201,Sheldon,,delicious,1
202,Sheldon,,watery,1
203,Sheldon,,cousin,1
204,Sheldon,,superheroes,1
205,Sheldon,,take,1
206,Sheldon,,chemicals,1
207,Sheldon,,facing,1
208,Sheldon,,great,1
209,Sheldon,,deal,1
210,Sheldon,,work,1
211,Sheldon,,things,1
212,Sheldon,,better,1
213,Sheldon,,famous,1
214,Sheldon,,people,1
215,Sheldon,,also,1
216,Sheldon,,first,1
217,Sheldon,,one,1
218,Sheldon,,free,1
219,Sheldon,,flash,1
220,Sheldon,,stay,1
221,Sheldon,,business,1
222,Sheldon,,martian,5
223,Sheldon,,quote,2
224,Sheldon,,marvin,2
225,Sheldon,,gentlemen,1
226,Sheldon,,ready,1
227,Sheldon,,work,1
228,Sheldon,,let,1
229,Sheldon,,science,1
230,Sheldon,,faeces,1
231,Sheldon,,book,1
232,Sheldon,,movie,1
233,Sheldon,,although,1
234,Sheldon,,claim,1
235,Sheldon,,planet,1
236,Sheldon,,name,1
237,Sheldon,,fantastic,1
238,Sheldon,,never,1
239,Sheldon,,better,1
240,Sheldon,,first,1
241,Sheldon,,energy,1
242,Sheldon,,drink,1
243,Sheldon,,feel,1
244,Sheldon,,great,1
245,Sheldon,,guys,1
246,Sheldon,,want,1
247,Sheldon,,wrestle,1
248,Sheldon,,arm,1
249,Sheldon,,thumb,1
250,Sheldon,,mud,1
251,Sheldon,,sumo,1
252,Sheldon,,head,1
253,Sheldon,,hurts,1
254,Sheldon,,tired,1
255,Sheldon,,ever,1
256,Sheldon,,need,1
257,Sheldon,,another,1
258,Sheldon,,energy,1
259,Sheldon,,drink,1
260,Sheldon,,want,1
261,Sheldon,,another,1
262,Sheldon,,one,1
263,Sheldon,,craving,1
264,Sheldon,,sign,1
265,Sheldon,,chemical,1
266,Sheldon,,dependency,1
267,Sheldon,,know,2
268,Sheldon,,one,2
269,Sheldon,,plenty,1
270,Sheldon,,things,1
271,Sheldon,,addictive,1
272,Sheldon,,single,1
273,Sheldon,,exposure,1
274,Sheldon,,mean,1
275,Sheldon,,crack,1
276,Sheldon,,cocaine,1
