id,character,series,word,count
1316,Leonard,6.0,go,28
1317,Leonard,6.0,one,27
1318,Leonard,6.0,good,25
1319,Leonard,6.0,really,24
1320,Leonard,6.0,think,24
1321,Leonard,6.0,penny,22
1322,Leonard,6.0,come,20
1323,Leonard,6.0,little,19
1324,Leonard,6.0,us,19
1325,Leonard,6.0,look,19
1326,Leonard,7.0,know,80
1327,Leonard,7.0,sheldon,57
1328,Leonard,7.0,go,38
1329,Leonard,7.0,want,37
1330,Leonard,7.0,one,37
1331,Leonard,7.0,think,36
1332,Leonard,7.0,penny,33
1333,Leonard,7.0,come,31
1334,Leonard,7.0,really,30
1335,Leonard,7.0,right,25
1336,Leonard,7.0,good,24
1337,Leonard,7.0,look,24
1338,Leonard,7.0,time,23
1339,Leonard,7.0,take,23
1340,Leonard,7.0,say,22
1341,Leonard,8.0,know,69
1342,Leonard,8.0,think,42
1343,Leonard,8.0,sheldon,36
1344,Leonard,8.0,right,34
1345,Leonard,8.0,really,34
1346,Leonard,8.0,one,33
1347,Leonard,8.0,want,31
1348,Leonard,8.0,let,28
1349,Leonard,8.0,us,23
1350,Leonard,8.0,go,21
1351,Leonard,8.0,look,21
1352,Leonard,8.0,mean,21
1353,Leonard,8.0,come,20
1354,Leonard,8.0,good,19
1355,Leonard,8.0,thank,19
1356,Leonard,9.0,know,56
1357,Leonard,9.0,time,33
1358,Leonard,9.0,think,33
1359,Leonard,9.0,right,29
1360,Leonard,9.0,want,29
1361,Leonard,9.0,go,29
1362,Leonard,9.0,sheldon,26
1363,Leonard,9.0,really,25
1364,Leonard,9.0,let,24
1365,Leonard,9.0,penny,24
1366,Leonard,9.0,make,23
1367,Leonard,9.0,good,21
1368,Leonard,9.0,one,19
1369,Leonard,9.0,us,19
1370,Leonard,9.0,say,18
1371,Leonard,10.0,know,43
1372,Leonard,10.0,sheldon,42
1373,Leonard,10.0,want,35
1374,Leonard,10.0,think,30
1375,Leonard,10.0,good,28
1376,Leonard,10.0,go,26
1377,Leonard,10.0,us,22
1378,Leonard,10.0,make,20
1379,Leonard,10.0,need,20
1380,Leonard,10.0,really,19
1381,Leonard,10.0,penny,17
1382,Leonard,10.0,right,17
1383,Leonard,10.0,little,15
1384,Leonard,10.0,work,15
1385,Leonard,10.0,come,14
1386,Leonard,,sure,1
1387,Leonard,,still,1
1388,Leonard,,figuring,1
1389,Leonard,,expander,1
1390,Leonard,,two,1
1391,Leonard,,months,1
1392,Leonard,,deliver,1
1393,Leonard,,air,1
1394,Leonard,,force,1
1395,Leonard,,guys,1
1396,Leonard,,anything,1
1397,Leonard,,done,1
1398,Leonard,,start,1
1399,Leonard,,fighting,1
1400,Leonard,,please,1
1401,Leonard,,try,1
1402,Leonard,,three,1
1403,Leonard,,half,1
1404,Leonard,,minutes,1
1405,Leonard,,wake,1
1406,Leonard,,good,1
1407,Leonard,,dream,1
1408,Leonard,,carried,1
1409,Leonard,,bed,1
1410,Leonard,,let,1
1411,Leonard,,head,1
1412,Leonard,,hit,1
1413,Leonard,,wall,1
1414,Leonard,,laughed,1
1415,Leonard,,nice,1
1416,Leonard,,guys,1
1417,Leonard,,today,1
1418,Leonard,,think,1
1419,Leonard,,bored,1
1420,Leonard,,look,1
1421,Leonard,,party,1
1422,Leonard,,complicated,1
1423,Leonard,,finds,1
1424,Leonard,,pushing,1
1425,Leonard,,little,1
1426,Leonard,,door,1
1427,Leonard,,reaching,1
1428,Leonard,,machine,1
1429,Leonard,,according,1
1430,Leonard,,world,1
1431,Leonard,,worst,1
1432,Leonard,,cuckoo,1
1433,Leonard,,clock,1
1434,Leonard,,two,1
1435,Leonard,,one,1
1436,Leonard,,afford,1
1437,Leonard,,lose,1
1438,Leonard,,time,1
1439,Leonard,,helpful,2
1440,Leonard,,fun,1
1441,Leonard,,think,1
1442,Leonard,,sheldon,1
1443,Leonard,,serious,1
1444,Leonard,,time,1
1445,Leonard,,crunch,1
1446,Leonard,,without,1
1447,Leonard,,please,1
1448,Leonard,,pull,1
1449,Leonard,,together,1
1450,Leonard,,thank,1
1451,Leonard,,coffee,1
1452,Leonard,,want,1
1453,Leonard,,let,1
1454,Leonard,,pretend,1
1455,Leonard,,problem,1
1456,Leonard,,say,2
1457,Leonard,,let,1
1458,Leonard,,think,1
1459,Leonard,,throwing,1
1460,Leonard,,work,1
1461,Leonard,,best,1
1462,Leonard,,way,1
1463,Leonard,,deal,1
1464,Leonard,,problem,1
1465,Leonard,,rotational,1
1466,Leonard,,symmetries,1
1467,Leonard,,figuring,1
1468,Leonard,,fake,1
1469,Leonard,,caffeine,1
1470,Leonard,,problem,1
1471,Leonard,,energy,2
1472,Leonard,,drink,2
1473,Leonard,,sheldon,1
1474,Leonard,,dealing,1
1475,Leonard,,impossible,1
1476,Leonard,,deadline,1
1477,Leonard,,air,1
1478,Leonard,,force,1
1479,Leonard,,order,1
1480,Leonard,,suppositories,1
1481,Leonard,,shove,1
1482,Leonard,,em,1
1483,Leonard,,wherever,1
1484,Leonard,,want,1
1485,Leonard,,care,1
1486,Leonard,,right,1
1487,Leonard,,listen,1
1488,Leonard,,anything,1
1489,Leonard,,part,1
1490,Leonard,,front,1
1491,Leonard,,whiteboard,1
1492,Leonard,,yes,1
1493,Leonard,,seriously,1
1494,Leonard,,figure,1
1495,Leonard,,something,1
1496,Leonard,,sheldon,2
1497,Leonard,,fine,1
1498,Leonard,,see,1
1499,Leonard,,buddy,1
1500,Leonard,,snores,1
1501,Leonard,,really,1
1502,Leonard,,know,1
1503,Leonard,,say,1
1504,Leonard,,right,1
1505,Leonard,,sorry,1
1506,Leonard,,sir,1
1507,Leonard,,sir,1
1508,Leonard,,understand,1
1509,Leonard,,contract,1
1510,Leonard,,know,1
1511,Leonard,,consequences,1
1512,Leonard,,violating,1
1513,Leonard,,able,1
1514,Leonard,,deliver,1
1515,Leonard,,time,1
1516,Leonard,,promised,1
1517,Leonard,,thanks,1
1518,Leonard,,understanding,1
1519,Leonard,,sir,1
