from,to,count
Sheldon,Leonard,475
Leonard,Leonard,39
Leonard,Sheldon,490
Sheldon,Penny,242
Penny,Leonard,264
Leonard,Penny,259
Penny,Sheldon,235
Sheldon,Howard,84
Howard,Sheldon,81
Leonard,Raj,68
Raj,Leonard,64
Leonard,Howard,122
Howard,Leonard,140
Raj,Howard,58
Howard,Penny,58
Penny,Howard,59
Sheldon,Sheldon,34
Raj,Penny,15
Raj,Sheldon,48
Penny,Penny,8
Howard,Raj,44
Sheldon,Raj,44
Penny,Raj,17
Raj,Raj,9
Howard,Howard,3
