from,to,count
Sheldon,Leonard,301
Leonard,Howard,67
Howard,Raj,116
Raj,Howard,112
Raj,Raj,4
Raj,Bernadette,16
Bernadette,Leonard,16
Amy,Penny,135
Penny,Amy,145
Amy,Raj,3
Raj,Amy,3
Penny,Raj,42
Raj,Penny,37
Sheldon,Howard,107
Howard,Sheldon,108
Raj,Leonard,46
Raj,Sheldon,67
Leonard,Sheldon,314
Howard,Leonard,65
Leonard,Raj,40
Sheldon,Penny,133
Penny,Leonard,210
Leonard,Penny,218
Penny,Howard,30
Howard,Penny,24
Penny,Sheldon,119
Bernadette,Raj,16
Amy,Howard,21
Bernadette,Amy,32
Leonard,Leonard,34
Sheldon,Amy,135
Amy,Sheldon,121
Amy,Leonard,51
Leonard,Amy,43
Howard,Bernadette,131
Bernadette,Howard,121
Amy,Amy,10
Howard,Amy,10
Amy,Bernadette,36
Sheldon,Bernadette,31
Sheldon,Raj,53
Penny,Bernadette,56
Bernadette,Penny,61
Leonard,Bernadette,13
Bernadette,Sheldon,29
Sheldon,Sheldon,35
Howard,Howard,7
Penny,Penny,5
Bernadette,Bernadette,1
