from,to,count
Bernadette,Amy,58
Amy,Bernadette,62
Sheldon,Penny,213
Penny,Sheldon,220
Penny,Leonard,306
Leonard,Sheldon,245
Sheldon,Leonard,242
Leonard,Penny,296
Raj,Howard,140
Howard,Raj,162
Raj,Sheldon,54
Sheldon,Raj,58
Sheldon,Howard,105
Sheldon,Sheldon,21
Penny,Howard,30
Penny,Penny,11
Howard,Bernadette,123
Bernadette,Howard,113
Sheldon,Amy,206
Amy,Sheldon,199
Penny,Amy,47
Amy,Leonard,39
Raj,Penny,51
Amy,Penny,44
Leonard,Amy,40
Howard,Sheldon,96
Leonard,Howard,47
Howard,Leonard,43
Leonard,Bernadette,35
Bernadette,Leonard,34
Raj,Leonard,66
Howard,Amy,40
Amy,Howard,41
Raj,Amy,51
Amy,Raj,48
Raj,Bernadette,42
Sheldon,Bernadette,22
Bernadette,Penny,38
Bernadette,Sheldon,25
Penny,Bernadette,40
Leonard,Raj,47
Bernadette,Raj,40
Penny,Raj,48
Leonard,Leonard,19
Howard,Penny,25
Howard,Howard,7
Raj,Raj,9
Bernadette,Bernadette,3
Amy,Amy,9
