from,to,count
Penny,Howard,63
Howard,Penny,69
Sheldon,Leonard,400
Leonard,Sheldon,403
Sheldon,Howard,103
Howard,Sheldon,93
Sheldon,Raj,126
Raj,Howard,117
Howard,Raj,119
Raj,Sheldon,135
Sheldon,Sheldon,39
Sheldon,Penny,261
Penny,Sheldon,248
Penny,Leonard,141
Leonard,Howard,109
Raj,Leonard,103
Howard,Howard,9
Penny,Raj,28
Penny,Amy,99
Amy,Penny,86
Sheldon,Amy,149
Leonard,Raj,97
Amy,Sheldon,149
Amy,Leonard,24
Howard,Leonard,109
Leonard,Leonard,40
Leonard,Penny,141
Penny,Penny,11
Raj,Raj,1
Leonard,Amy,20
Howard,Amy,7
Amy,Howard,8
Amy,Raj,8
Raj,Penny,25
Howard,Bernadette,94
Bernadette,Howard,99
Bernadette,Leonard,10
Bernadette,Penny,44
Penny,Bernadette,38
Raj,Bernadette,25
Raj,Amy,6
Leonard,Bernadette,17
Sheldon,Bernadette,16
Amy,Bernadette,37
Bernadette,Amy,29
Amy,Amy,5
Bernadette,Bernadette,4
Bernadette,Raj,20
Bernadette,Sheldon,13
