from,to,count
Penny,Leonard,292
Leonard,Penny,284
Leonard,Raj,94
Raj,Sheldon,75
Sheldon,Penny,395
Penny,Sheldon,404
Sheldon,Leonard,412
Leonard,Sheldon,422
Raj,Howard,93
Howard,Sheldon,127
Sheldon,Howard,139
Howard,Leonard,174
Raj,Leonard,99
Leonard,Howard,165
Howard,Raj,91
Sheldon,Raj,74
Howard,Penny,68
Penny,Raj,17
Penny,Penny,13
Leonard,Leonard,37
Sheldon,Sheldon,38
Penny,Howard,65
Raj,Penny,21
Howard,Howard,9
Raj,Raj,3
