from,to,count
Sheldon,Raj,54
Raj,Amy,24
Amy,Sheldon,184
Sheldon,Amy,185
Amy,Raj,29
Raj,Raj,5
Raj,Sheldon,64
Penny,Leonard,234
Leonard,Penny,224
Leonard,Raj,74
Raj,Leonard,69
Penny,Raj,38
Raj,Penny,38
Bernadette,Howard,145
Howard,Bernadette,142
Howard,Howard,9
Sheldon,Leonard,227
Amy,Penny,82
Penny,Amy,77
Leonard,Sheldon,215
Sheldon,Sheldon,31
Sheldon,Penny,135
Penny,Sheldon,134
Penny,Howard,23
Bernadette,Sheldon,21
Leonard,Bernadette,16
Penny,Bernadette,61
Bernadette,Amy,52
Bernadette,Penny,58
Leonard,Leonard,18
Sheldon,Howard,103
Howard,Sheldon,94
Howard,Leonard,70
Leonard,Howard,75
Amy,Bernadette,51
Amy,Leonard,13
Leonard,Amy,17
Penny,Penny,14
Howard,Penny,25
Howard,Amy,11
Howard,Raj,150
Raj,Howard,144
Sheldon,Bernadette,18
Raj,Bernadette,18
Bernadette,Bernadette,2
Amy,Howard,9
Bernadette,Raj,19
Bernadette,Leonard,15
Amy,Amy,3
