from,to,count
Leonard,Penny,231
Penny,Leonard,235
Penny,Sheldon,125
Sheldon,Bernadette,53
Howard,Bernadette,114
Bernadette,Howard,113
Howard,Amy,28
Amy,Bernadette,44
Bernadette,Amy,43
Raj,Amy,16
Amy,Sheldon,230
Sheldon,Amy,227
Amy,Howard,18
Bernadette,Penny,73
Leonard,Amy,27
Amy,Penny,71
Raj,Sheldon,88
Sheldon,Howard,79
Howard,Sheldon,75
Bernadette,Sheldon,49
Sheldon,Raj,71
Leonard,Howard,87
Howard,Leonard,86
Penny,Raj,32
Leonard,Bernadette,16
Sheldon,Penny,137
Sheldon,Leonard,255
Leonard,Sheldon,254
Sheldon,Sheldon,40
Penny,Amy,78
Penny,Penny,16
Howard,Penny,20
Penny,Bernadette,75
Leonard,Raj,51
Raj,Howard,137
Howard,Raj,148
Bernadette,Leonard,17
Raj,Leonard,51
Leonard,Leonard,23
Raj,Penny,35
Penny,Howard,21
Amy,Leonard,30
Raj,Bernadette,35
Bernadette,Raj,30
Amy,Raj,21
Raj,Raj,4
Howard,Howard,8
Bernadette,Bernadette,6
Amy,Amy,6
