from,to,count
Leonard,Penny,326
Penny,Sheldon,327
Sheldon,Penny,339
Raj,Howard,167
Howard,Raj,152
Raj,Leonard,89
Leonard,Howard,137
Howard,Leonard,140
Leonard,Sheldon,376
Sheldon,Leonard,374
Leonard,Raj,95
Penny,Leonard,308
Penny,Howard,53
Penny,Raj,20
Leonard,Leonard,50
Raj,Sheldon,193
Howard,Sheldon,125
Sheldon,Howard,126
Sheldon,Raj,188
Howard,Penny,43
Raj,Raj,12
Sheldon,Sheldon,36
Howard,Howard,12
Raj,Penny,13
Penny,Penny,13
Howard,Bernadette,51
Bernadette,Howard,53
Sheldon,Bernadette,11
Leonard,Bernadette,12
Raj,Bernadette,4
Bernadette,Penny,12
Penny,Bernadette,12
Bernadette,Leonard,13
Bernadette,Sheldon,11
Bernadette,Raj,2
Bernadette,Bernadette,1
Sheldon,Amy,5
Amy,Raj,1
Amy,Sheldon,2
Amy,Howard,1
Amy,Penny,1
