id,character,lines
0,Sheldon,1019
1,Leonard,906
2,Penny,671
3,Howard,564
4,Amy,416
5,Raj,360
6,Bernadette,313
7,Scene,259
8,Cooper,68
9,Stuart,58
10,Jimmy,32
11,Kripke,29
12,Priya,24
13,Rostenkowski,21
14,Koothrappali,18
15,Wil,17
16,Siri,16
17,Spock,16
18,Alice,16
19,Lakshmi,15
20,All,15
21,Mike,9
22,Hofstadter,8
23,Assistant,8
24,Hawking,7
25,Cosmonaut,6
26,Siebert,6
27,Brent,5
28,Dimitri,5
29,Seibert,5
30,Actress,5
31,Barber,5
32,girl,4
33,Man,4
34,Dale,4
35,Woman,4
36,Barry,4
37,Rothman,3
38,Kevin,3
39,voice,3
40,child,3
41,Mass,3
42,Nurse,3
43,Teleplay,2
44,Together,2
45,Child,2
46,Registrar,2
47,Laura,2
48,Massimino,2
49,Phone,2
50,Story,2
51,Voice,2
52,Guy,1
53,Spiner,1
54,together,1
55,Minister,1
56,Both,1
57,Barman,1
58,Receptionist,1
59,Sgeldon,1
60,Wheaton,1
61,Girl,1
62,Roeger,1
63,Control,1
