id,character,lines
0,Sheldon,1098
1,Leonard,841
2,Penny,716
3,Howard,569
4,Amy,546
5,Raj,483
6,Bernadette,403
7,Scene,351
8,Stuart,113
9,Dave,52
10,Beverly,48
11,Man,43
12,Claire,38
13,Barry,36
14,Meemaw,36
15,Emily,35
16,Mary,33
17,Alfred,28
18,Arthur,22
19,Zack,22
20,Adam,19
21,Gallo,17
22,Wil,16
23,Mandy,14
24,Dad,13
25,Caption,12
26,Rostenkowski,10
27,Girl,9
28,Attorney,9
29,Cooper,9
30,Elon,8
31,Official,6
32,Woman,5
33,Beverley,5
34,Manager,5
35,All,5
36,Stephen,5
37,Leslie,5
38,Together,4
39,Voice,2
40,Wheaton,2
41,Siri,2
42,Girls,2
43,Vanessa,2
44,woman,1
45,Emly,1
46,Trent,1
47,West,1
48,Winkle,1
49,Hofstadter,1
