id,character,lines
0,Sheldon,987
1,Leonard,763
2,Penny,639
3,Howard,634
4,Raj,511
5,Amy,422
6,Bernadette,341
7,Scene,307
8,Stuart,86
9,Alex,63
10,Lucy,51
11,Arthur,43
12,Janine,31
13,Kripke,25
14,Rostenkowski,23
15,Girl,20
16,Wil,18
17,Barry,13
18,Dimitri,9
19,Woman,8
20,Jenson,8
21,Santa,7
22,Shopkeeper,6
23,Cole,6
24,Mike,5
25,Waitress,5
26,GPS,5
27,Policeman,4
28,All,4
29,Thief,4
30,Hawking,4
31,Suit,3
32,Schneider,3
33,Together,3
34,guy,3
35,Waiter,3
36,Mandel,2
37,Paramedic,2
38,LeVar,2
39,Witch,2
40,Man,2
41,Outside,1
42,Actor,1
43,Gretchen,1
44,Kid,1
45,Howatd,1
46,Bermadette,1
47,Girls,1
48,Boys,1
