id,character,lines
0,Sheldon,1307
1,Leonard,1120
2,Penny,849
3,Howard,632
4,Raj,544
5,Scene,238
6,Bernadette,97
7,Beverley,60
8,Stuart,45
9,Elizabeth,43
10,Cooper,22
11,Wil,22
12,Zack,17
13,Wheaton,16
14,Mother,14
15,Bethany,13
16,Assistant,11
17,Crawley,10
18,Kripke,9
19,Leslie,8
20,Martha,8
21,Katee,7
22,Judge,7
23,TV,6
24,Venkatesh,6
25,Policeman,6
26,Girl,6
27,Guard,5
28,Amy,5
29,Laughlin,5
30,Koothrappali,4
31,Man,4
32,Tattooist,4
33,Lee,4
34,Abby,4
35,Sarah,4
36,Wolowitz,3
37,voice,2
38,Transvestite,2
39,Ira,2
40,Radio,2
41,Millstone,2
42,girl,2
43,together,1
44,guys,1
45,guy,1
46,three,1
47,hat,1
48,Woman,1
49,Sackhoff,1
50,Everyone,1
51,screen,1
52,Waiter,1
53,box,1
54,Screen,1
55,Apartment,1
56,Kim,1
57,Gunderson,1
58,Winkle,1
