id,character,lines
0,Leonard,1171
1,Sheldon,1097
2,Penny,663
3,Howard,396
4,Raj,237
5,Scene,162
6,Lesley,50
7,Gablehouser,48
8,Missy,46
9,Cooper,42
10,Koothrappali,34
11,Lalita,18
12,Dennis,18
13,Leslie,16
14,Kurt,15
15,Toby,13
16,Nurse,9
17,Girl,8
18,Christie,8
19,Mother,7
20,Waiter,7
21,Together,6
22,Receptionist,5
23,Man,4
24,together,4
25,Janitor,4
26,All,3
27,Story,3
28,phone,3
29,Teleplay,3
30,Voice,2
31,Woman,2
32,man,2
33,quartettist,2
34,Mike,2
35,two,2
36,Waitress,2
37,Goldfarb,2
38,instructor,1
39,buzzer,1
40,Doug,1
41,Summer,1
42,Costume,1
43,one,1
44,stairs,1
45,guy,1
46,Guy,1
47,woman,1
48,Assistant,1
