id,character,season,rank,word,count,uniqueness_score
113,Penny,3.0,3,leonard,55,14.135514018691588
114,Penny,3.0,4,go,44,10.352941176470589
115,Penny,3.0,5,sweetie,11,9.307692307692308
116,Penny,3.0,6,kitty,9,7.363636363636364
117,Penny,3.0,7,sorry,26,7.268817204301074
118,Penny,3.0,8,back,24,6.697674418604651
119,Penny,3.0,9,god,17,5.8979591836734695
120,Penny,3.0,10,really,25,5.681818181818182
121,Howard,3.0,1,bernadette,25,18.38235294117647
122,Howard,3.0,2,right,39,6.945205479452055
123,Howard,3.0,3,girlfriend,15,6.818181818181818
124,Howard,3.0,4,ow,9,6.75
125,Howard,3.0,5,goth,8,6.4
126,Howard,3.0,6,know,37,5.1856060606060606
127,Howard,3.0,7,hot,12,4.800000000000001
128,Howard,3.0,8,giant,9,4.263157894736842
129,Howard,3.0,9,want,26,4.072289156626506
130,Howard,3.0,10,mean,15,3.6885245901639343
131,Bernadette,3.0,1,microbiology,3,2.25
132,Bernadette,3.0,2,experiment,5,1.5625
133,Bernadette,3.0,3,bicycle,2,1.3333333333333333
134,Bernadette,3.0,4,howard,9,1.1911764705882353
135,Bernadette,3.0,5,dancing,2,1.0
136,Bernadette,3.0,6,exciting,2,1.0
137,Bernadette,3.0,7,fat,2,0.5714285714285714
138,Bernadette,3.0,8,says,3,0.5625
139,Bernadette,3.0,9,third,2,0.4444444444444444
140,Bernadette,3.0,10,works,2,0.4444444444444444
141,Leonard,3.0,1,sheldon,84,29.4
142,Leonard,3.0,2,want,57,19.572289156626507
143,Leonard,3.0,3,penny,57,18.252808988764045
144,Leonard,3.0,4,come,44,13.928057553956833
145,Leonard,3.0,5,know,59,13.18560606060606
146,Leonard,3.0,6,really,35,11.136363636363637
147,Leonard,3.0,7,go,45,10.828877005347593
148,Leonard,3.0,8,right,48,10.520547945205479
149,Leonard,3.0,9,let,35,9.423076923076923
150,Leonard,3.0,10,fine,24,9.0
151,Raj,3.0,1,dude,21,21.0
152,Raj,3.0,2,india,9,7.363636363636364
153,Raj,3.0,3,indian,7,6.125
154,Raj,3.0,4,sucky,6,6.0
155,Raj,3.0,5,go,32,5.475935828877005
156,Raj,3.0,6,holy,5,4.166666666666667
157,Raj,3.0,7,sheldon,31,4.004166666666667
158,Raj,3.0,8,delhi,4,4.0
159,Raj,3.0,9,know,31,3.6401515151515156
160,Raj,3.0,10,come,22,3.4820143884892083
161,Sheldon,4.0,1,knock,104,101.08411214953271
162,Sheldon,4.0,2,penny,75,42.29323308270677
163,Sheldon,4.0,3,leonard,89,38.45145631067961
164,Sheldon,4.0,4,yes,67,37.09917355371901
165,Sheldon,4.0,5,amy,54,28.310679611650485
166,Sheldon,4.0,6,right,70,23.902439024390247
167,Sheldon,4.0,7,one,61,23.550632911392405
168,Sheldon,4.0,8,may,26,15.02222222222222
169,Sheldon,4.0,9,see,44,14.892307692307693
170,Sheldon,4.0,10,thank,31,14.343283582089553
171,Penny,4.0,1,know,79,21.08445945945946
172,Penny,4.0,2,leonard,54,14.155339805825243
173,Penny,4.0,3,sheldon,51,12.876237623762377
174,Penny,4.0,4,look,32,11.50561797752809
175,Penny,4.0,5,amy,33,10.572815533980583
176,Penny,4.0,6,sorry,28,9.223529411764705
177,Penny,4.0,7,right,43,9.019512195121951
178,Penny,4.0,8,guys,21,8.647058823529411
179,Penny,4.0,9,really,29,7.25
180,Penny,4.0,10,kitty,8,7.111111111111111
181,Amy,4.0,1,brain,10,8.333333333333334
182,Amy,4.0,2,hoo,8,7.111111111111111
183,Amy,4.0,3,bestie,6,5.142857142857142
184,Amy,4.0,4,gossip,7,4.454545454545454
185,Amy,4.0,5,slumber,5,3.5714285714285716
186,Amy,4.0,6,bernadette,16,3.506849315068493
187,Amy,4.0,7,study,4,3.2
188,Amy,4.0,8,ricky,4,3.2
189,Amy,4.0,9,dirty,5,3.125
190,Amy,4.0,10,experimentation,3,3.0
191,Howard,4.0,1,raj,25,7.621951219512195
192,Howard,4.0,2,bernie,7,7.0
193,Howard,4.0,3,go,32,6.3602484472049685
194,Howard,4.0,4,mother,17,5.070175438596491
195,Howard,4.0,5,bernadette,19,4.945205479452055
196,Howard,4.0,6,needs,7,4.454545454545454
197,Howard,4.0,7,see,24,4.430769230769231
198,Howard,4.0,8,know,36,4.378378378378379
199,Howard,4.0,9,talk,13,3.595744680851064
200,Howard,4.0,10,mean,15,3.571428571428571
201,Bernadette,4.0,1,howard,23,4.521367521367521
202,Bernadette,4.0,2,glenn,6,3.5999999999999996
203,Bernadette,4.0,3,bacteria,2,2.0
204,Bernadette,4.0,4,engaged,4,2.0
205,Bernadette,4.0,5,catholic,2,2.0
206,Bernadette,4.0,6,astronaut,4,2.0
207,Bernadette,4.0,7,putz,2,2.0
208,Bernadette,4.0,8,terrible,3,1.5
209,Bernadette,4.0,9,stay,5,1.3888888888888888
210,Bernadette,4.0,10,keynote,2,1.3333333333333333
211,Leonard,4.0,1,sheldon,64,20.277227722772277
212,Leonard,4.0,2,know,63,13.408783783783782
213,Leonard,4.0,3,want,42,12.782608695652176
214,Leonard,4.0,4,really,34,9.96551724137931
215,Leonard,4.0,5,good,35,8.626760563380282
216,Leonard,4.0,6,tell,25,8.445945945945946
217,Leonard,4.0,7,raj,26,8.24390243902439
218,Leonard,4.0,8,sure,22,7.806451612903226
219,Leonard,4.0,9,howard,29,7.188034188034188
220,Leonard,4.0,10,still,18,7.043478260869565
221,Raj,4.0,1,dude,13,12.071428571428571
222,Raj,4.0,2,sister,19,9.025
223,Raj,4.0,3,aquaman,6,4.5
224,Raj,4.0,4,country,7,4.454545454545454
225,Raj,4.0,5,sucks,5,4.166666666666667
226,Raj,4.0,6,talking,11,3.4571428571428573
227,Raj,4.0,7,think,22,3.248322147651007
228,Raj,4.0,8,brown,4,3.2
229,Raj,4.0,9,potty,5,3.125
230,Raj,4.0,10,one,22,3.0632911392405062
231,Sheldon,5.0,1,knock,98,85.75
232,Sheldon,5.0,2,leonard,74,42.12307692307692
233,Sheldon,5.0,3,spock,22,22.0
234,Sheldon,5.0,4,one,58,20.265060240963855
235,Sheldon,5.0,5,penny,48,19.862068965517242
236,Sheldon,5.0,6,right,66,18.695278969957084
237,Sheldon,5.0,7,know,73,17.64569536423841
238,Sheldon,5.0,8,amy,44,17.6
239,Sheldon,5.0,9,yes,39,16.010526315789473
240,Sheldon,5.0,10,make,40,15.384615384615385
241,Penny,5.0,1,know,69,15.764900662251655
242,Penny,5.0,2,look,36,12.0
243,Penny,5.0,3,mean,24,8.112676056338028
244,Penny,5.0,4,god,18,7.902439024390244
245,Penny,5.0,5,go,38,7.32994923857868
246,Penny,5.0,6,right,41,7.214592274678112
247,Penny,5.0,7,sheldon,37,7.205263157894737
248,Penny,5.0,8,amy,27,6.627272727272727
249,Penny,5.0,9,want,31,5.932098765432098
250,Penny,5.0,10,come,27,5.879032258064516
251,Amy,5.0,1,maid,10,7.142857142857143
252,Amy,5.0,2,honour,10,6.666666666666666
253,Amy,5.0,3,boyfriend,10,5.555555555555555
254,Amy,5.0,4,sheldon,32,5.389473684210526
255,Amy,5.0,5,painting,8,4.923076923076923
256,Amy,5.0,6,dress,8,3.764705882352941
257,Amy,5.0,7,night,16,3.4594594594594597
258,Amy,5.0,8,tiara,4,3.2
259,Amy,5.0,9,horse,5,3.125
260,Amy,5.0,10,party,10,3.125
261,Howard,5.0,1,space,17,8.027777777777777
262,Howard,5.0,2,nasa,9,6.75
263,Howard,5.0,3,bernadette,20,6.557377049180327
264,Howard,5.0,4,really,26,5.586776859504132
265,Howard,5.0,5,go,33,5.527918781725888
266,Howard,5.0,6,says,10,5.263157894736842
267,Howard,5.0,7,want,27,4.5
268,Howard,5.0,8,station,7,4.454545454545454
