id,character,season,rank,word,count,uniqueness_score
560,Bernadette,9.0,10,sure,13,1.8172043010752685
561,Leonard,9.0,1,penny,24,8.347826086956522
562,Leonard,9.0,2,buddy,10,8.333333333333334
563,Leonard,9.0,3,time,33,8.066666666666666
564,Leonard,9.0,4,know,56,7.225806451612903
565,Leonard,9.0,5,think,33,5.950819672131148
566,Leonard,9.0,6,lot,15,5.625
567,Leonard,9.0,7,go,29,5.56953642384106
568,Leonard,9.0,8,want,29,5.159509202453988
569,Leonard,9.0,9,liquid,6,5.142857142857142
570,Leonard,9.0,10,fun,18,4.909090909090908
571,Raj,9.0,1,claire,13,11.266666666666667
572,Raj,9.0,2,emily,17,8.757575757575758
573,Raj,9.0,3,dude,9,7.363636363636364
574,Raj,9.0,4,guys,24,7.291139240506329
575,Raj,9.0,5,thor,6,4.5
576,Raj,9.0,6,know,44,4.460829493087558
577,Raj,9.0,7,right,30,4.390243902439024
578,Raj,9.0,8,telescope,5,4.166666666666667
579,Raj,9.0,9,dishes,4,4.0
580,Raj,9.0,10,maybe,17,3.6582278481012658
581,Sheldon,10.0,1,amy,54,35.5609756097561
582,Sheldon,10.0,2,know,111,33.3
583,Sheldon,10.0,3,knock,34,30.42105263157895
584,Sheldon,10.0,4,leonard,52,24.581818181818182
585,Sheldon,10.0,5,one,51,16.88961038961039
586,Sheldon,10.0,6,people,35,15.3125
587,Sheldon,10.0,7,need,37,13.03809523809524
588,Sheldon,10.0,8,yes,31,12.480519480519481
589,Sheldon,10.0,9,right,48,12.19047619047619
590,Sheldon,10.0,10,way,27,12.15
591,Penny,10.0,1,leonard,33,9.9
592,Penny,10.0,2,right,41,8.894179894179894
593,Penny,10.0,3,know,56,8.475675675675676
594,Penny,10.0,4,go,37,7.913294797687861
595,Penny,10.0,5,believe,16,6.564102564102564
596,Penny,10.0,6,want,33,5.792553191489362
597,Penny,10.0,7,really,27,5.651162790697675
598,Penny,10.0,8,sweetie,6,4.5
599,Penny,10.0,9,mm,9,4.263157894736842
600,Penny,10.0,10,hi,12,4.114285714285714
601,Amy,10.0,1,sheldon,69,26.450000000000003
602,Amy,10.0,2,know,57,8.781081081081082
603,Amy,10.0,3,blah,5,5.0
604,Amy,10.0,4,really,25,4.844961240310078
605,Amy,10.0,5,sorry,19,4.5125
606,Amy,10.0,6,mean,18,4.32
607,Amy,10.0,7,ground,6,4.0
608,Amy,10.0,8,kitty,4,4.0
609,Amy,10.0,9,kätzchen,4,4.0
610,Amy,10.0,10,give,12,3.891891891891892
611,Howard,10.0,1,dibba,6,6.0
612,Howard,10.0,2,maybe,22,5.761904761904762
613,Howard,10.0,3,bernie,6,5.142857142857142
614,Howard,10.0,4,know,43,4.9972972972972975
615,Howard,10.0,5,us,22,4.938775510204081
616,Howard,10.0,6,great,18,4.628571428571428
617,Howard,10.0,7,right,28,4.148148148148148
618,Howard,10.0,8,baby,16,3.8208955223880596
619,Howard,10.0,9,wants,8,3.3684210526315788
620,Howard,10.0,10,go,24,3.329479768786127
621,Bernadette,10.0,1,howie,10,9.09090909090909
622,Bernadette,10.0,2,baby,16,3.8208955223880596
623,Bernadette,10.0,3,pregnant,7,3.769230769230769
624,Bernadette,10.0,4,go,25,3.6127167630057806
625,Bernadette,10.0,5,shh,5,3.5714285714285716
626,Bernadette,10.0,6,back,17,3.2471910112359548
627,Bernadette,10.0,7,mommy,4,3.2
628,Bernadette,10.0,8,boss,3,3.0
629,Bernadette,10.0,9,lasagna,3,3.0
630,Bernadette,10.0,10,house,7,2.8823529411764706
631,Leonard,10.0,1,sheldon,42,9.8
632,Leonard,10.0,2,want,35,6.51595744680851
633,Leonard,10.0,3,buddy,6,6.0
634,Leonard,10.0,4,think,30,5.625
635,Leonard,10.0,5,good,28,5.52112676056338
636,Leonard,10.0,6,know,43,4.9972972972972975
637,Leonard,10.0,7,us,22,4.938775510204081
638,Leonard,10.0,8,stay,13,4.694444444444445
639,Leonard,10.0,9,thing,14,4.260869565217392
640,Leonard,10.0,10,penny,17,4.013888888888888
641,Raj,10.0,1,howard,20,6.0606060606060606
642,Raj,10.0,2,broke,6,4.5
643,Raj,10.0,3,think,26,4.2250000000000005
644,Raj,10.0,4,wobble,4,4.0
645,Raj,10.0,5,spoiled,5,3.5714285714285716
646,Raj,10.0,6,know,36,3.502702702702703
647,Raj,10.0,7,thank,17,3.4000000000000004
648,Raj,10.0,8,pretty,10,3.333333333333333
649,Raj,10.0,9,want,25,3.324468085106383
650,Raj,10.0,10,guys,13,3.25
