episode,Sheldon,Leonard,Penny,Howard,Bernadette,Raj,Amy
1.0,71,61,41,28,0,23,0
2.0,73,66,34,15,0,13,0
3.0,83,33,60,9,0,5,0
4.0,53,56,27,37,0,50,0
5.0,89,45,34,18,0,7,0
6.0,69,47,31,12,0,5,0
7.0,67,58,69,41,0,12,0
8.0,45,65,19,37,0,18,0
9.0,79,48,33,10,0,8,0
10.0,33,83,43,11,0,6,0
11.0,40,59,49,26,0,11,0
12.0,30,43,46,40,0,20,0
13.0,71,42,19,20,0,10,0
14.0,57,81,66,19,0,15,0
15.0,29,61,45,16,0,6,0
16.0,47,61,34,55,0,8,0
17.0,59,52,24,34,0,21,0
18.0,71,39,75,23,0,7,0
19.0,54,37,65,15,0,3,0
20.0,51,48,31,42,0,16,0
21.0,59,44,45,29,0,36,0
22.0,33,67,19,35,0,21,0
23.0,80,71,31,24,0,17,0
