episode,Sheldon,Leonard,Penny,Howard,Bernadette,Raj,Amy
1.0,41,30,30,27,12,17,14
2.0,64,22,21,35,19,13,30
3.0,38,39,36,35,21,8,19
4.0,33,28,51,31,23,30,14
5.0,46,43,23,28,24,29,27
6.0,50,43,43,20,23,41,11
7.0,28,41,29,11,17,15,26
8.0,35,33,38,28,22,13,24
9.0,67,32,22,29,29,16,28
10.0,34,29,25,21,30,18,16
11.0,32,38,20,42,14,29,20
12.0,49,46,31,29,5,34,20
13.0,74,30,29,21,5,12,26
14.0,47,56,37,10,23,12,24
15.0,50,30,42,20,15,24,21
16.0,55,20,50,11,11,19,21
17.0,39,32,28,20,9,32,34
18.0,58,42,24,30,20,15,28
19.0,57,48,15,23,22,11,15
20.0,35,40,29,25,11,18,27
21.0,44,44,29,32,18,45,2
22.0,40,30,28,43,8,33,3
23.0,35,35,22,9,6,7,4
24.0,45,54,67,20,19,20,11
