episode,Sheldon,Leonard,Penny,Howard,Bernadette,Raj,Amy
1.0,24,31,43,13,6,37,18
2.0,50,47,31,20,0,12,23
3.0,21,39,15,34,25,1,47
4.0,25,16,37,45,3,51,2
5.0,51,47,10,34,35,6,9
6.0,59,27,10,8,0,6,5
7.0,41,71,24,11,7,9,0
8.0,37,31,29,12,25,3,60
9.0,34,65,61,4,6,6,6
10.0,54,27,19,17,7,15,26
11.0,49,69,35,6,17,9,16
12.0,43,21,22,41,26,7,12
13.0,41,82,65,8,21,7,20
14.0,25,35,34,10,4,27,13
15.0,61,50,13,26,2,19,2
16.0,63,28,16,29,15,12,33
17.0,48,24,42,10,10,13,36
18.0,50,34,23,22,17,5,8
19.0,42,24,41,15,8,15,38
20.0,51,27,26,21,8,46,0
21.0,72,14,12,61,7,13,0
22.0,22,31,26,29,22,24,11
23.0,36,46,25,40,12,4,16
24.0,20,20,12,48,30,13,15
