episode,Sheldon,Leonard,Penny,Howard,Bernadette,Raj,Amy
1.0,57,11,47,15,20,28,21
2.0,77,33,43,31,12,18,21
3.0,40,44,40,31,30,21,26
4.0,27,47,26,19,7,24,17
5.0,61,17,13,26,18,13,38
6.0,45,40,35,27,9,18,23
7.0,46,29,14,31,6,25,21
8.0,37,42,34,13,15,23,12
9.0,34,34,39,32,21,13,23
10.0,56,27,10,32,26,23,12
11.0,38,47,45,20,14,26,34
12.0,39,60,49,14,12,17,17
13.0,42,41,40,20,19,18,30
14.0,42,34,24,30,11,27,13
15.0,48,33,32,14,12,15,32
16.0,44,40,31,41,24,29,16
17.0,44,20,24,37,10,42,29
18.0,46,24,32,25,20,36,20
19.0,42,29,35,6,18,29,38
20.0,55,23,24,43,14,23,8
21.0,45,30,44,16,6,23,15
22.0,48,44,39,14,11,16,17
23.0,25,33,42,28,21,41,3
24.0,54,65,34,18,17,9,22
