episode,Sheldon,Leonard,Penny,Howard,Bernadette,Raj,Amy
1.0,26,30,22,29,11,48,24
2.0,65,30,39,19,23,7,22
3.0,35,33,37,16,15,5,21
4.0,44,28,27,41,12,15,17
5.0,25,33,39,41,31,19,17
6.0,48,45,37,16,12,16,15
7.0,53,13,21,32,22,2,21
8.0,24,55,24,52,0,49,0
9.0,53,19,16,36,28,11,31
10.0,39,12,13,47,14,10,33
11.0,42,43,18,17,15,33,19
12.0,47,51,33,13,5,18,2
13.0,34,35,36,16,21,21,28
14.0,53,31,16,35,10,24,5
15.0,60,37,32,27,4,31,28
16.0,28,47,41,20,12,16,15
17.0,39,17,19,18,6,26,13
18.0,22,21,15,20,16,10,15
19.0,46,30,27,45,41,14,17
20.0,52,42,13,12,3,19,21
21.0,33,23,30,20,5,33,19
22.0,46,31,18,26,19,14,0
23.0,39,18,18,22,11,27,28
24.0,34,39,48,14,5,43,11
