episode,Sheldon,Leonard,Penny,Howard,Bernadette,Raj,Amy
1.0,50,49,35,27,0,18,0
2.0,63,44,31,35,0,29,0
3.0,43,38,30,50,0,38,0
4.0,66,32,24,32,0,71,0
5.0,45,38,26,45,21,29,0
6.0,39,67,32,35,0,40,0
7.0,61,59,68,17,0,14,0
8.0,62,25,58,31,0,28,0
9.0,35,32,22,44,21,17,0
10.0,59,35,54,48,37,3,0
11.0,42,55,51,8,0,0,0
12.0,50,39,22,23,7,40,0
13.0,66,42,22,11,0,7,0
14.0,64,55,32,15,11,10,0
15.0,58,66,39,13,0,18,0
16.0,64,27,55,22,0,11,0
17.0,37,51,17,41,0,44,0
18.0,71,31,25,11,0,21,0
19.0,62,47,62,20,0,14,0
20.0,78,66,56,21,0,22,0
21.0,63,64,28,28,0,30,0
22.0,77,95,26,19,0,12,0
23.0,52,63,34,36,0,28,5
