episode,Sheldon,Leonard,Penny,Howard,Bernadette,Raj,Amy
1.0,61,56,58,9,12,5,24
2.0,39,55,34,16,9,14,21
3.0,37,27,53,29,24,23,26
4.0,40,21,21,26,12,33,7
5.0,51,32,16,17,15,13,21
6.0,67,62,21,11,16,12,12
7.0,42,25,27,33,25,12,0
8.0,37,22,33,23,23,22,33
9.0,46,35,34,27,12,11,40
10.0,31,25,19,28,12,27,29
11.0,66,22,23,14,15,15,31
12.0,50,29,28,29,23,33,9
13.0,77,35,22,14,9,21,15
14.0,47,16,17,22,12,38,31
15.0,28,38,35,27,20,19,31
16.0,29,34,26,40,34,20,19
17.0,42,32,24,8,5,9,23
18.0,34,25,22,37,24,40,16
19.0,60,31,29,23,16,15,58
20.0,39,46,48,36,28,17,24
21.0,45,58,26,34,7,29,18
22.0,52,43,24,31,30,29,22
23.0,52,31,37,13,9,8,17
24.0,26,41,39,22,11,18,19
