season,episode,Sheldon,Leonard,Penny,Howard,Bernadette,Raj,Amy
1,1.0,1097,1171,663,396,0,237,0
2,2.0,1343,1267,940,596,0,338,0
3,3.0,1307,1120,849,632,97,544,5
4,4.0,1328,1084,740,607,261,481,353
5,5.0,1019,906,671,564,313,360,416
6,6.0,987,763,639,634,341,511,422
7,7.0,1092,847,796,583,373,557,508
8,8.0,1096,885,769,600,406,511,465
9,9.0,1098,841,716,569,403,483,546
10,10.0,1072,718,672,533,412,521,688
