season,episode,Sheldon,Leonard,Penny,Howard,Bernadette,Raj,Amy
7,24.0,54,65,34,18,17,9,22
8,1.0,41,30,30,27,12,17,14
8,2.0,64,22,21,35,19,13,30
8,3.0,38,39,36,35,21,8,19
8,4.0,33,28,51,31,23,30,14
8,5.0,46,43,23,28,24,29,27
8,6.0,50,43,43,20,23,41,11
8,7.0,28,41,29,11,17,15,26
8,8.0,35,33,38,28,22,13,24
8,9.0,67,32,22,29,29,16,28
8,10.0,34,29,25,21,30,18,16
8,11.0,32,38,20,42,14,29,20
8,12.0,49,46,31,29,5,34,20
8,13.0,74,30,29,21,5,12,26
8,14.0,47,56,37,10,23,12,24
8,15.0,50,30,42,20,15,24,21
8,16.0,55,20,50,11,11,19,21
8,17.0,39,32,28,20,9,32,34
8,18.0,58,42,24,30,20,15,28
8,19.0,57,48,15,23,22,11,15
8,20.0,35,40,29,25,11,18,27
8,21.0,44,44,29,32,18,45,2
8,22.0,40,30,28,43,8,33,3
8,23.0,35,35,22,9,6,7,4
8,24.0,45,54,67,20,19,20,11
9,1.0,61,56,58,9,12,5,24
9,2.0,39,55,34,16,9,14,21
9,3.0,37,27,53,29,24,23,26
9,4.0,40,21,21,26,12,33,7
9,5.0,51,32,16,17,15,13,21
9,6.0,67,62,21,11,16,12,12
9,7.0,42,25,27,33,25,12,0
9,8.0,37,22,33,23,23,22,33
9,9.0,46,35,34,27,12,11,40
9,10.0,31,25,19,28,12,27,29
9,11.0,66,22,23,14,15,15,31
9,12.0,50,29,28,29,23,33,9
9,13.0,77,35,22,14,9,21,15
9,14.0,47,16,17,22,12,38,31
9,15.0,28,38,35,27,20,19,31
9,16.0,29,34,26,40,34,20,19
9,17.0,42,32,24,8,5,9,23
9,18.0,34,25,22,37,24,40,16
9,19.0,60,31,29,23,16,15,58
9,20.0,39,46,48,36,28,17,24
9,21.0,45,58,26,34,7,29,18
9,22.0,52,43,24,31,30,29,22
9,23.0,52,31,37,13,9,8,17
9,24.0,26,41,39,22,11,18,19
10,1.0,38,27,26,15,12,20,8
10,2.0,38,32,38,33,37,16,19
10,4.0,64,31,39,16,15,12,55
10,5.0,37,28,43,27,24,21,25
10,6.0,32,33,38,27,21,11,22
10,7.0,69,47,36,17,5,10,52
10,8.0,39,10,12,9,7,54,38
10,9.0,55,37,18,26,11,13,19
