Topic,Count,Name,Representation,Representative_Docs
-1,37,-1_gauge_know_think pass_pew,"['gauge', 'know', 'think pass', 'pew', 'pass', 'saying', 'think', 'pass think', 'pew pew', 'days']","['When I was five, I ingested a Z gauge locomotive. I spent the next three days saying, I think I can pass it, I think I can pass it, I think I can pass it.', 'Dr. Rostenkowski, it may interest you to know that saying pew, pew, pew isn’t as effective as pressing your blaster key. In the same way that saying whee doesn’t make the land speeder go.', 'Dr. Rostenkowski, it may interest you to know that saying pew, pew, pew isn’t as effective as pressing your blaster key. In the same way that saying whee doesn’t make the land speeder go.']"
0,235,0_bernadette_just_amy_feel,"['bernadette', 'just', 'amy', 'feel', 'leonard', 'yeah', 'going', 'howard', 'good', 'yes']","['Hmm. Let’s see, what do I know about Amy? She loves medieval literature, Chaucer’s her favourite. And her eyes sparkle when she watches old French movies. I enjoy how harp music causes her fingers to dance as if she’s playing along.', 'Hmm. Let’s see, what do I know about Amy? She loves medieval literature, Chaucer’s her favourite. And her eyes sparkle when she watches old French movies. I enjoy how harp music causes her fingers to dance as if she’s playing along.', 'Using your sword, you prepare a beautiful sushi dinner. You slip into the hot spring and enjoy the warm water on your aching joints. As you happily close your eyes, you recall the incredible evening you’ve had and notice that your feet and ankles are smaller than they’ve ever been. The end.']"
1,17,1_toast_look world_ll kick_penicillin uh,"['toast', 'look world', 'll kick', 'penicillin uh', 'friendly', 'friendly festival', 'oh fun', 'notch explore', 'notch', 'model trains']","['Yes, I’d like a seven-day course of penicillin, some, uh, syrup of ipecac, to induce vomiting, and a mint.', 'Oh, I have quite the evening planned. Our foetus-friendly festival of fun begins with an in-depth look at the world of model trains, and then we’ll kick things up a notch and explore all the different ways that you can make toast.', 'Oh, I have quite the evening planned. Our foetus-friendly festival of fun begins with an in-depth look at the world of model trains, and then we’ll kick things up a notch and explore all the different ways that you can make toast.']"
